City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
512,San Cristobal,VE,82.4,scattered clouds,7.7669,-72.225,Pirineos
513,Ahuimanu,US,80.6,broken clouds,21.4447,-157.8378,Paradise Bay Resort
514,Xuddur,SO,69.85,broken clouds,4.1213,43.8894,Banjanay Hotel
515,Hanmer Springs,NZ,68.18,overcast clouds,-42.5167,172.8167,The Chalets Motel
516,Nha Trang,VN,73.4,few clouds,12.25,109.1833,Hanoi Golden Hotel
517,Maceio,BR,78.8,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
520,Presidencia Roque Saenz Pena,AR,84.02,broken clouds,-26.7852,-60.4388,Hotel Gualok
521,Tiarei,PF,82.4,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
522,Villamontes,BO,77.88,scattered clouds,-21.25,-63.5,Hotel Raldes
523,Ondjiva,AO,68.04,overcast clouds,-17.0667,15.7333,SOS Motel
526,Chicama,PE,69.8,scattered clouds,-7.8447,-79.1469,Hospedaje Punta Cana PERU
527,Navirai,BR,74.05,moderate rain,-23.065,-54.1906,Dubai Hotel - Também sua casa!
532,Alta Floresta,BR,73.74,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
536,Manono,CD,70.38,light rain,-7.3,27.4167,Hotel hewa bora
543,Rio Grande,BR,75.99,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
544,Waddan,LY,54.59,clear sky,29.1614,16.139,محل الشريف محمد العايب
548,Denpasar,ID,80.6,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
549,Aguimes,ES,64.4,broken clouds,27.9054,-15.4461,Hotel Villa de Aguimes
551,Ngaoundere,CM,63.34,broken clouds,7.3167,13.5833,Hotel Mentong Palace
552,Miri,MY,78.8,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
553,Colesberg,ZA,78.91,overcast clouds,-30.72,25.0972,Bhelekazi Guesthouse
556,Porto Novo,BJ,80.6,haze,6.4965,2.6036,Tour Eiffel Hotel Benin
558,Christchurch,NZ,73.99,overcast clouds,-43.5333,172.6333,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
563,Thaba Nchu,ZA,64.4,clear sky,-29.2093,26.839000000000002,Real Time Guest House
564,El Progreso,HN,80.6,broken clouds,15.4,-87.8,Hotel La Arboleda
569,Nam Som,TH,66.99,mist,17.7704,102.1895,โรงแรมวุฒิโชค น้ำโสม ที่พักไกล้วัดป่าภูก้อน ราคา 500฿
571,Moree,AU,82.4,clear sky,-29.4667,149.85,Molika Springs Motel
572,Coihueco,CL,77.0,clear sky,-36.6167,-71.8333,Frutillares Coihueco
575,Lubbock,US,55.4,broken clouds,33.6001,-101.8338,La Quinta Inn by Wyndham Lubbock - Downtown Civic Center
576,Robertsport,LR,79.39,clear sky,6.7533,-11.3686,Kwepunha Retreat
581,Mogadishu,SO,75.6,broken clouds,2.0371,45.3438,Hotel Juba
582,Ewa Beach,US,82.4,clear sky,21.3156,-158.0072,Base Lodging
584,Inhambane,MZ,80.26,moderate rain,-23.865,35.3833,Oceano
589,Santa Cruz,BO,75.2,broken clouds,-17.8,-63.1667,Hotel Cortez
590,Jiblah,YE,55.51,broken clouds,13.9216,44.1467,Tiger Tower Hotel
591,Ishigaki,JP,64.4,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
593,Mumford,GH,78.75,few clouds,5.2618,-0.759,Spanish Villa
596,Taltal,CL,66.72,few clouds,-25.4,-70.4833,Residencial Karime
598,Picos,BR,75.58,overcast clouds,-7.0769,-41.4669,Entre Rios Hotel
599,Aquin,HT,75.15,few clouds,18.2833,-73.4,Asheev Beach
601,Waitati,NZ,66.0,overcast clouds,-45.75,170.5667,Arden Country House BnB Dunedin
602,Kokstad,ZA,65.05,scattered clouds,-30.5472,29.4241,Majestic Bed and Breakfast
603,Touros,BR,78.8,light rain,-5.1989,-35.4608,INN NEW HORIZON
